127.0.0.1 - - [21/Feb/2024:17:15:25 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:15:27 +0530] "GET /Login-Register/index.html HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:15:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:15:45 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:18:02 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:18:03 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:20:57 +0530] "GET /Login-Register/index.html HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:20:57 +0530] "GET /Login-Register/indeexStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:20:58 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:20:58 +0530] "GET /Login-Register/indeexStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:20:59 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:20:59 +0530] "GET /Login-Register/indeexStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:21:00 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:21:00 +0530] "GET /Login-Register/indeexStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:21:00 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:21:00 +0530] "GET /Login-Register/indeexStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:21:00 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:21:00 +0530] "GET /Login-Register/indeexStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:22:02 +0530] "GET /Login-Register/index.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:22:02 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:22:02 +0530] "GET /Login-Register/last.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:29 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:29 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:29 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 200 1377175
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:30 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:30 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:30 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:31 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:31 +0530] "GET /Login-Register/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:31 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:31 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:35 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:41 +0530] "GET /Login-Register/index.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:48 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:52 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:36:14 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:39:39 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:39:44 +0530] "GET /Login-Register/index.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:39:48 +0530] "GET /Login-Register/index.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:40:49 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:40:51 +0530] "GET /Login-Register/index.html HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:40:51 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:40:51 +0530] "GET /Login-Register/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:40:51 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:42:12 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:42:12 +0530] "GET /Login-Register/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:42:14 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:42:14 +0530] "GET /Login-Register/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:20 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:20 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:20 +0530] "GET /Login-Register/background.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:28 +0530] "GET /Login-Register/index.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:28 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:28 +0530] "GET /Login-Register/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:31 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:43:37 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:18 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:18 +0530] "GET /Login-Register/style.css HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:19 +0530] "GET /Login-Register/register.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:44:19 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
